Id,Loại Hình BDS,Tầng Số,Diện Tích,Chiều Dài,Chiều Rộng,DTSD,Mặt Tiền,Mặt Hậu,Hướng,Hướng Ban Công,Căn góc,Đường Trước Nhà,Pháp Lý,Số Phòng Ngủ,Số Tầng,Số Nhà Vệ Sinh,Năm Xây Dựng,Tình Trạng BĐS,Đặc Tính BĐS,Chính Chủ,Tình Trạng Nội Thất,Sân Thượng,Chỗ Để Xe Hơi,Phòng Ăn,Nhà Bếp,Điều Hòa,Internet (ADSL & Cáp Quang),Máy Giặt,Ban Công,Tủ Lạnh,Wifi,Hồ Bơi,Tầng Hầm,Siêu Thị,Chợ,Công Viên,Trạm Xá,Biển,Bệnh Viện,Nhà Thờ,Bến Xe Buýt,Trường Học,Chùa,Sân Bay,Trường Mầm Non,Giá / m2,Giá
1,"Đất thổ cư, đất ở",nan,352,20,17,nan,nan,nan,Tây Bắc,nan,nan,12,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,Hẻm xe hơi,yes,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7000000.0,3320000000
2,Căn hộ chung cư,3.0,152,25,6,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,1600000000
3,Căn hộ chung cư,3.0,100,20,5,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,1100000000
4,Căn hộ chung cư,3.0,120,30,4,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,1480000000
5,Căn hộ chung cư,3.0,80,20,4,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,980000000
6,Căn hộ chung cư,3.0,70,17,4,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,780000000
7,Căn hộ chung cư,3.0,50,12,4,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,480000000
8,Căn hộ chung cư,3.0,60,15,4,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,600000000
9,Căn hộ chung cư,3.0,150,18,8,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,1500000000
10,Căn hộ chung cư,3.0,70,17,4,330.0,nan,nan,Đông Nam,Tây Nam,yes,8,Số đỏ/ Sổ hồng,3.0,nan,2.0,2018.0,Đã bàn giao,nan,yes,nan,nan,yes,yes,yes,yes,yes,yes,yes,nan,yes,nan,yes,nan,yes,nan,nan,nan,yes,nan,yes,yes,nan,nan,yes,nan,680000000
