ID,FormRE,Area,Height,Width,Direction,RoadInFront,Juridical,NumOfBed,Terrace,CarParking,DinningRoom,Kitchen,Price
1,"Đất thổ cư, đất ở",,50.0,10.0,,,,,,,,,750000000.0
2,"Đất thổ cư, đất ở",,20.0,5.0,Đông,,Số đỏ/ Sổ hồng,,,,,,650000000.0
3,"Đất thổ cư, đất ở",,25.0,5.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1680000000.0
4,"Biệt thự, nhà liền kề",,15.0,4.0,,,Số đỏ/ Sổ hồng,2.0,,,,,1900000000.0
5,"Đất thổ cư, đất ở",,51.0,20.0,,,Số đỏ/ Sổ hồng,,,,,,1700000000.0
6,"Nhà mặt phố, nhà mặt tiền",,12.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,695000000.0
7,"Đất thổ cư, đất ở",,27.0,8.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,10500000000.0
8,"Nhà mặt phố, nhà mặt tiền",,19.0,7.0,,,Số đỏ/ Sổ hồng,6.0,,,,,21000000000.0
9,"Nhà mặt phố, nhà mặt tiền",,24.1,6.0,Đông Nam,,Số đỏ/ Sổ hồng,4.0,,,,,5500000000.0
10,"Đất thổ cư, đất ở",,45.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,2650000000.0
11,"Đất thổ cư, đất ở",,15.0,4.0,Tây,,Số đỏ/ Sổ hồng,,,,,,995000000.0
12,"Nhà mặt phố, nhà mặt tiền",,10.0,4.0,Đông Bắc,,,4.0,,,,,3500000000.0
13,"Đất thổ cư, đất ở",,8.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,1380000000.0
14,"Đất thổ cư, đất ở",,19.0,8.0,,,Số đỏ/ Sổ hồng,,,,,,260000000.0
15,"Nhà, ngõ, hẻm",,45.0,6.0,Bắc,,Số đỏ/ Sổ hồng,2.0,,,,,1680000000.0
16,"Đất thổ cư, đất ở",,16.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,2950000000.0
17,"Nhà, ngõ, hẻm",,8.0,4.0,,,Số đỏ/ Sổ hồng,3.0,,,,,2650000000.0
18,"Đất nông, công, lâm nghiệp",,200.0,50.0,,,Số đỏ/ Sổ hồng,,,,,,1500000000.0
19,"Đất nền, đất liền kề, đất dự án",,20.0,6.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,3500000000.0
20,"Nhà, ngõ, hẻm",,8.0,37.0,,,Số đỏ/ Sổ hồng,2.0,,,,,3350000000.0
21,"Nhà mặt phố, nhà mặt tiền",,20.0,12.0,Tây Bắc,,,8.0,,,,,9950000000.0
22,"Nhà mặt phố, nhà mặt tiền",,20.0,5.0,,,Số đỏ/ Sổ hồng,4.0,,,,,16000000000.0
23,"Nhà mặt phố, nhà mặt tiền",,15.0,4.0,Đông,,Số đỏ/ Sổ hồng,6.0,,,,,7500000000.0
24,"Đất thổ cư, đất ở",,19.0,10.5,,,Số đỏ/ Sổ hồng,,,,,,1950000000.0
25,"Đất thổ cư, đất ở",,24.0,5.0,Tây,,Số đỏ/ Sổ hồng,,,,,,2900000000.0
26,"Đất thổ cư, đất ở",,40.0,6.0,,,,,,,,,3360000000.0
27,"Đất nền, đất liền kề, đất dự án",,22.0,5.0,,,Giấy tờ hợp lệ,,,,,,1100000000.0
28,"Đất thổ cư, đất ở",,22.0,4.0,,,Số đỏ/ Sổ hồng,,,,,,1350000000.0
29,"Nhà, ngõ, hẻm",,4.0,6.0,Đông,,Số đỏ/ Sổ hồng,3.0,,,,,1600000000.0
30,"Nhà, ngõ, hẻm",,16.0,4.0,Nam,,,2.0,,,,,2550000000.0
31,"Đất nền, đất liền kề, đất dự án",,20.0,7.0,,,,,,,,,1820000000.0
32,"Nhà mặt phố, nhà mặt tiền",,9.57,3.0,Tây,,Số đỏ/ Sổ hồng,3.0,,,,,6000000000.0
33,"Đất nền, đất liền kề, đất dự án",,21.0,5.0,,,,,,,,,1900000000.0
34,"Đất thổ cư, đất ở",,18.0,4.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,10200000.0
35,"Nhà, ngõ, hẻm",,18.0,5.0,Bắc,,Số đỏ/ Sổ hồng,5.0,,,,,10500000000.0
36,"Nhà, ngõ, hẻm",,10.0,4.0,,,Số đỏ/ Sổ hồng,4.0,,,,,5600000000.0
37,"Đất thổ cư, đất ở",,15.0,5.0,Tây,,Số đỏ/ Sổ hồng,,,,,,1230000000.0
38,"Nhà, ngõ, hẻm",,9.0,5.0,Tây Nam,,,1.0,,,,,1850000000.0
39,"Đất nông, công, lâm nghiệp",,20.0,5.0,,,Số đỏ/ Sổ hồng,,,,,,400000000.0
40,"Đất thổ cư, đất ở",,20.0,5.0,Đông Bắc,,Số đỏ/ Sổ hồng,,,,,,3350000000.0
41,"Nhà mặt phố, nhà mặt tiền",,29.0,6.0,,,Số đỏ/ Sổ hồng,3.0,,,,,4650000000.0
42,"Đất thổ cư, đất ở",,25.0,8.0,Đông Nam,,Số đỏ/ Sổ hồng,,,,,,1950000000.0
43,"Đất nông, công, lâm nghiệp",,180.0,16.0,,,Số đỏ/ Sổ hồng,,,,,,423000000.0
44,"Nhà, ngõ, hẻm",,15.8,4.2,,,Số đỏ/ Sổ hồng,4.0,,,,,2800000000.0
45,"Đất thổ cư, đất ở",,25.0,5.0,Đông Nam,,,,,,,,4850000000.0
46,"Đất thổ cư, đất ở",,30.0,4.0,,,,,,,,,720000000.0
47,"Đất nông, công, lâm nghiệp",,60.0,10.0,,,Số đỏ/ Sổ hồng,,,,,,380000000.0
