"ID","Type","TypeORE","FormRE","Province","District","Ward","Street","Project","LandNum","BlockName","FloorNum","Area","Height","Width","UsableArea","FrontLength","BackSideLength","Direction","BalconyDirection","Corner","RoadInFront","Juridical","NumOfBed","NumOfFloor","NumOfToilet","ConstructionYear","IsOwner","Furniture","Terrace","CarParking","DinningRoom","Kitchen","AirCond","ADSL","WashingMachine","Balcony","Fridge","Wifi","Pool","Basement","Park","SuperMarket","Clinics","Sea","Hospital","Church","BusStation","School","Temple","Airport","Preschool","PublishDate","StatusORE","Characteristics","Deposit","PricePSM","Price"
"61bc5d661d6c755205578c92","2","4","8","29","Hà Đông","Dương Nội","Đường Lê Trọng Tấn","","","","","","10","4","50","","","","","","","","4","4","4","","","3","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","126000000","6300000000"
"61bc5d661d6c755205578c93","2","7","17","61","Bến Cát","Thới Hòa","Đường DK5A","","","KHU K Mỹ Phước 3","","","30","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","25330000","3800000000"
"61bc5d661d6c755205578c94","2","7","17","43","Ngũ Hành Sơn","Khuê Mỹ","Đường Bùi Tá Hán","","","","","","20","3.5","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","37320000","2650000000"
"61bc5d661d6c755205578c95","2","7","16","77","An Nhơn","Nhơn Hoà","Đường Quốc Lộ 19B","","","Phân khu 4 - 9","","","18","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","4760000","600000000"
"61bc5d661d6c755205578c96","2","7","17","70","Tây Ninh","Hiệp Ninh","Huỳnh Tấn Phát","","","","","","20","4","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","28750000","2300000000"
"61bc5d661d6c755205578c97","2","7","17","61","Tân Uyên","Tân Hiệp","Đường Tân Hiệp 4","","","","","","35","7","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","7060000","1750000000"
"61bc5d661d6c755205578c98","2","7","17","39","Long Khánh","Bình Lộc","Đường Lê A","","","","","","27","5","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","6990000","930000000"
"61bc5d661d6c755205578c99","2","7","17","61","Thủ Dầu Một","Phú Cường","Đường Thích Quảng Đức","","","","","","17","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","89490000","23000000000"
"61bc5d661d6c755205578c9a","2","4","8","62","Đức Hòa","Đức Hòa","Nguyễn hữu thọ","","","","","","14","5","","","","","","","","","2","","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","17650000","1200000000"
"61bc5d661d6c755205578c9b","2","7","17","61","Thủ Dầu Một","Tân An","DX 127 Nhựa 5m Thông","","","Mặt Tiền Dx 127","","","22","10","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","12560000","2650000000"
"61bc5d661d6c755205578c9c","2","7","17","39","Thống Nhất","Dầu Giây","Đường Quốc lộ 1A","","","","","","19","5","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","31110000","2800000000"
"61bc5d661d6c755205578c9d","2","4","9","47","Buôn Ma Thuột","Thành Công","53 phạm ngũ lão","","","","","","17","4.5","72","","","6","","","","","2","","2","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","24860000","1790000000"
"61bc5d661d6c755205578c9e","2","4","8","43","Sơn Trà","An Hải Đông","Đường Ngô Quyền","","","","","","22.5","4.2","","","","2","","","","","3","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","131110000","11800000000"
"61bc5d661d6c755205578c9f","2","4","9","18","Nam Định","Trần Hưng Đạo","Đường Trường Chinh","","","","","","14","4.2","56","","","6","","","","","3","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","27830000","1280000000"
"61bc5d661d6c755205578ca0","2","4","8","67","Long Xuyên","Mỹ Phước","Đường Trần Phú","","","","","","14","9","118","","","","","","","","4","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","57630000","6800000000"
"61bc5d661d6c755205578ca1","2","4","8","65","Ninh Kiều","An Hòa","Đường Lý Tự Trọng","","","","","","38","7","","","","8","","","","","8","3","6","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","149610000","38000000000"
"61bc5d661d6c755205578ca2","2","7","17","89","Mỹ Hào","Nhân Hòa","Lạc Hồng Phúc","","","","","","17","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","45000000","3825000000"
"61bc5d661d6c755205578ca3","2","7","17","89","Yên Mỹ","Yên Hòa","Nghĩa Xuyên","","","","","","11.3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","56900000","3300000000"
"61bc5d661d6c755205578ca4","2","4","8","61","Dĩ An","Đông Hòa","LIÊN KHU 3","","","","","","23","6","180","","","7","","","","","3","2","3","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","63310000","8800000000"
"61bc5d661d6c755205578ca5","2","4","","15","Hải An","Thành Tô","Đường Ngô Gia Tự","","","Ngã tư Lê Hồng Phong-Wourl Bank","","","12","12","320","","","7","","","","","5","3","5","","","3","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","100000000","14000000000"
"61bc5d661d6c755205578ca6","2","7","17","61","Tân Uyên","Thái Hòa","Đường 747C","","","","","","25","4","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","14200000","1420000000"
"61bc5d661d6c755205578ca7","2","4","9","29","Cầu Giấy","Yên Hoà","Đường Yên Hòa","","","","","","9.2","4.6","42","","","","","","","","4","4","3","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","102380000","4300000000"
"61bc5d661d6c755205578ca8","2","7","17","89","Văn Lâm","Như Quỳnh","Hành Lạc","","","","","","10.51","5.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","16000000","800000000"
"61bc5d661d6c755205578ca9","2","4","9","29","Hà Đông","Văn Quán","Đường Văn Quán","","","","","","9","3.8","31","","","","","","","","3","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","86770000","2690000000"
"61bc5d661d6c755205578caa","2","7","17","47","Buôn Ma Thuột","Tân Hòa","Đường Phạm Văn Đồng","","","","","","26","5","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","6150000","800000000"
"61bc5d661d6c755205578cab","2","4","8","93","Chơn Thành","Minh Hưng","Đường Quốc Lộ 13","","","","","","40","24","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","6560000","9300000000"
"61bc5d661d6c755205578cac","2","7","17","69","Cà Mau","4","Đường Số 6","","","","","","20","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","20000000","1600000000"
"61bc5d661d6c755205578cad","2","7","15","39","Biên Hòa","Trảng Dài","chợ thanh hoá khu phố 4","","","","","","20","5","","","","3","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","7260000","900000000"
"61bc5d661d6c755205578cae","2","4","9","65","Ninh Kiều","An Hòa","Đường Cách Mạng Tháng Tám","","","","","","12.5","4.5","120","","","5","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","32170000","1930000000"
"61bc5d661d6c755205578caf","2","4","9","62","Cần Giuộc","Long Hậu","Đường Lê Văn Lương","","","","","","12","4","120","","","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","21150000","1100000000"
"61bc5d661d6c755205578cb0","2","7","16","39","Long Thành","Long Đức","tỉnh Đồng Nai.","","","","","","20","5","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","28910000","2891400000"
"61bc5d661d6c755205578cb1","2","7","17","43","Hòa Vang","Hòa Sơn","Phú Thượng","","","","","","40","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","6380000","2550000000"
"61bc5d661d6c755205578cb2","2","7","15","61","Bàu Bàng","Trừ Văn Thố","Đường D1","","","","","","47","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","2930000","3450000000"
"61bc5d661d6c755205578cb3","2","4","9","29","Hai Bà Trưng","Quỳnh Mai","Đường Thanh Nhàn","","","","","","6","5","30","","","","","","","","2","","2","","","3","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","3","","73330000","2200000000"
"61bc5d661d6c755205578cb4","2","4","","61","Thuận An","An Phú","N","","","","","","16","4","200","","","7","","","","","4","2","4","","","2","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","50780000","3250000000"
"61bc5d661d6c755205578cb5","2","4","8","86","Phan Thiết","Xuân An","Đường Trần Quang Diệu","","","","","","20","5","100","","","6","","","","","2","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","27000000","2700000000"
"61bc5d661d6c755205578cb6","2","7","17","70","Tây Ninh","Hiệp Ninh","Đường Thuyền","","","","","","22","11","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","13640000","3300000000"
"61bc5d661d6c755205578cb7","2","7","17","93","Đồng Phú","Tân Hưng","Đường ĐT753","","","","","","30","5","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","2330000","350000000"
"61bc5d661d6c755205578cb8","2","7","16","39","Biên Hòa","Bửu Long","Hẻm 38 Nguyễn Đình Chiểu Tổ 20 KP3","","","","","","20","5","","","","8","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","2","","7500000","750000000"
"61bc5d661d6c755205578cb9","2","7","17","65","Bình Thuỷ","Thới An Đông","Đường Nguyễn Chí Thanh","","","Hẻm nhánh 91B gần trường Tiểu học Thới An Đông","","","35","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","3610000","1500000000"
"61bc5d661d6c755205578cba","2","4","9","39","Biên Hòa","Trảng Dài","Đường Nguyễn Khuyến","","","","","","23","5","115","","","4","","","","2","3","1","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","15390000","1770000000"
"61bc5d661d6c755205578cbb","2","7","15","39","Cẩm Mỹ","Xuân Quế","Sông Nhạn Dầu Dây","","","Bán đất mặt tiền đường Sông nhạn Dầu dây, cách cao tốc dầu dây  500m","","","55","82","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-12-05","","","","4810000","26000000000"
