"ID","Type","TypeORE","FormRE","Province","District","Ward","Street","Project","LandNum","BlockName","FloorNum","Area","Height","Width","UsableArea","FrontLength","BackSideLength","Direction","BalconyDirection","Corner","RoadInFront","Juridical","NumOfBed","NumOfFloor","NumOfToilet","ConstructionYear","IsOwner","Furniture","Terrace","CarParking","DinningRoom","Kitchen","AirCond","ADSL","WashingMachine","Balcony","Fridge","Wifi","Pool","Basement","Park","SuperMarket","Clinics","Sea","Hospital","Church","BusStation","School","Temple","Airport","Preschool","PublishDate","StatusORE","Characteristics","Deposit","PricePSM","Price"
"61adca0e032d4e691d4a4f32","Cần bán","Nhà","9","","Bình Thạnh","22","Võ Duy Ninh","","","","","","8","3","52","","","3","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","103850000","2700000000"
"61adca0e032d4e691d4a4f33","Cần bán","Nhà","9","","Bình Tân","Bình Hưng Hoà A","Đường Số 16","","","","","","10","3","45","","","","","","","2","2","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","53330000","1600000000"
"61adca0e032d4e691d4a4f34","Cần bán","Đất","15","65","Phong Điền","Phong Điền","Đường Bông Vang","","","","","","117","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","2","","3000000","2559000000"
"61adca0e032d4e691d4a4f35","Cần bán","Đất","15","39","Trảng Bom","Sông Thao","19/5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","713571","999000000"
"61adca0e032d4e691d4a4f36","Cần bán","Nhà","8","","Tân Bình","15","Đường Trần Thánh Tông","","","","","","20","5","200","","","","","","","","3","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","3","","100000000","10000000000"
"61adca0e032d4e691d4a4f37","Cần bán","Đất","17","43","Hòa Vang","Hòa Châu","Đường Quang Châu","","","","","","30","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","8890000","1600000000"
"61adca0e032d4e691d4a4f38","Cần bán","Căn hộ, chung cư","3","","2","Thảo Điền","Đường Xa Lộ Hà Nội","","","1","","63","","","","","","","5","","","","2","","2","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","2","","","66650000","4199000000"
"61adca0e032d4e691d4a4f39","Cần bán","Đất","17","43","Cẩm Lệ","Hòa Xuân","Nguyễn phước lan","","","","","","20","10","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","111500000","22300000000"
"61adca0e032d4e691d4a4f3a","Cần bán","Nhà","9","29","Hà Đông","Kiến Hưng","Đường Mậu Lương","","","","","","","","51","","","","","","","","5","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","71570000","3650000000"
"61adca0e032d4e691d4a4f3b","Cần bán","Nhà","","39","Nhơn Trạch","Phước An","Đường Nguyễn Văn Cừ","","","","","","21.3","5","106","","","5","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","18870000","2000000000"
"61adca0e032d4e691d4a4f3c","Cần bán","Nhà","9","","Tân Phú","Tân Sơn Nhì","Đường Trần Văn Ơn","","","","","","12","4","96","","","","","","","","2","2","2","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","89580000","4300000000"
"61adca0e032d4e691d4a4f3d","Cần bán","Đất","15","86","Hàm Tân","Sơn Mỹ","Thon 1","","","","","","150","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","2","","375000","15000000000"
"61adca0e032d4e691d4a4f3e","Cần bán","Đất","17","95","Châu Thành","Mái Dầm","Quốc Lộ 91C","","","","","","16","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","4990000","399000000"
"61adca0e032d4e691d4a4f3f","Cần bán","Đất","15","39","Cẩm Mỹ","Xuân Tây","Đường 765","","","","","","55","53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","629629","1700000000"
"61adca0e032d4e691d4a4f40","Cần bán","Đất","17","13","Tân Yên","Việt Lập","đường to","","","","","","20","20","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","3","","90000","9000000"
"61adca0e032d4e691d4a4f41","Cần bán","Nhà","9","29","Cầu Giấy","Dịch Vọng","Đường Trần Thái Tông","","","","","","","","","","","2","","","","","4","","4","","","4","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","105000000","4200000000"
"61adca0e032d4e691d4a4f42","Cần bán","Nhà","9","","8","5","Đường Liên Tỉnh 5","","","","","","6","4","54","","","","","","","","2","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","2021-11-30","","","","42590000","1150000000"
